Ticker,zip,sector,fullTimeEmployees,city,phone,state,country,website,maxAge,address1,fax,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url,toCurrency,lastDividendDate
EPAM,18940,Technology,36400.0,Newtown,267 759 9000,PA,United States,http://www.epam.com,1,41 University Drive,267 759 8989,Information Technology Services,Suite 202,317.02,315.25,275.97617,,0.0,,319.24,,192275,,317.02,330.68277,,315.25,192275,,,,,,1.376172,,,306.3,2,USD,60.94891,219577,,,,17255661568,,,283398,6.8895326,306.3,308.13,,800,219577,356.48,42.909725,,,151.97,307.43,False,,1100,319.24,NYQ,"EPAM Systems, Inc.","EPAM Systems, Inc.",America/New_York,EST,False,-18000000,,EQUITY,EPAM,,,finmb_4773318,c494882a-2c40-3dfb-ba2d-3df7085d9923,us_market,,6.5760000000000005,,0.11727,42.176,,,7.2,,55852600,,,31.403000000000002,875659,0.015700001,,1577750400,0.9935299999999999,293715008.0,5.069,,,9.838232000000001,0.036530003,1640908800,1593475200,2.75,1600128000.0,53899989,16469596160,,,,,,0.134,1602720000,3.14,,0.0163,995594.0,,,315.25,https://logo.clearbit.com/epam.com,,
CCC,SE1 8EZ,Technology,4090.0,London,44 20 7433 4000,,United Kingdom,http://www.clarivate.com,1,Friars House,,Information Technology Services,160 Blackfriars Road,28.09,27.84,26.043332999999997,,0.0,,28.39,,1804637,,28.09,30.183056,,27.84,1804637,,,,,,,,,27.4,2,USD,,2203858,,,,16815306752,,,1117361,15.961904,27.4,27.65,,1000,2203858,33.55,33.841465,,,15.0,26.7,False,,1000,28.39,NYQ,Clarivate Plc,Clarivate Plc,America/New_York,EST,False,-18000000,,EQUITY,CCC,,,finmb_373723538,defb99e6-9a9f-3f6e-86f1-5006b1f166ae,us_market,,17.317,,-0.18749000000000002,55.6,,,0.82,,626184000,,,6.059,1835509,0.0029,,1577750400,0.77507,-197512000.0,-0.56,,,4.5799637,0.14986,1640908800,1601424000,1.69,1600128000.0,401173641,18242654208,,675993600.0,2:1,,,,1602720000,2.32,,0.0042,2413060.0,,,27.84,https://logo.clearbit.com/clarivate.com,,
BIO,94547,Healthcare,8000.0,Hercules,510 724 7000,CA,United States,http://www.bio-rad.com,1,1000 Alfred Nobel Drive,510 741 5817,Medical Devices,,568.03,567.54,492.81134000000003,,0.0,,598.06,,151975,,568.03,539.8961,,567.54,151975,,,,,,1.006067,,,567.54,2,USD,5.025538,234986,,,,17427288064,,,161498,7.321728,567.54,586.78,,900,234986,598.06,57.775369999999995,,,309.38,405.0,False,,1000,598.06,NYQ,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.",America/New_York,EST,True,-18000000,,EQUITY,BIO,,,finmb_255743,6cebea0a-fe88-3cb6-af78-b738eb7ab8a1,us_market,,7.019,,1.4791299,36.27,,,10.15,,24586400,,,296.933,449618,0.0152,,1577750400,0.7914800000000001,3520651008.0,116.68799999999999,,,1.9749235,0.14286,1640908800,1601424000,3.15,1600128000.0,21221686,16707878912,,1015545600.0,2:1,,,,1602720000,4.03,,0.021,522642.0,,,567.54,https://logo.clearbit.com/bio-rad.com,,
TEF,28050,Communication Services,113621.0,Madrid,34 900 11 10 04,,Spain,http://www.telefonica.com,1,Distrito TelefÃ³nica,,Telecom Services,"Ronda de la ComunicaciÃ³n, s/n",3.36,3.3,4.328936,,7.8402004000000005,,3.32,,1752662,,3.36,3.6283333,,3.3,1752662,,,,0.44,1592352000.0,0.9291870000000001,,,3.26,4,USD,,1975448,,,,17152315392,,,1890226,,3.26,3.31,,2200,1975448,7.73,,,7.18,3.22,3.3,False,0.1312,28000,3.32,NYQ,Telefonica SA,"Telefónica, S.A.",America/New_York,EST,False,-18000000,,EQUITY,TEF,,,finmb_357076,90652aab-8896-3856-adca-211d4c66c90d,us_market,,,,0.0039700000000000004,,,,,,5250869760,,,,5568970,0.0011,,1577750400,0.00993,,,,,,2.0000001e-05,1640908800,1593475200,2.46,1600128000.0,5155569919,17147701248,,1295568000.0,3:1,,,-0.506,1602720000,,,,2157274.0,,,3.3,https://logo.clearbit.com/telefonica.com,,
CQP,77002,Energy,,Houston,713-375-5000,TX,United States,http://www.cheniere.com/about-us/cheniere-partners/,1,700 Milam Street,,Oil & Gas Midstream,Suite 1900,36.33,35.93,34.984398,0.06977704,0.9328,,36.5,,94787,,36.33,34.846942999999996,2.535,35.93,94787,,,,2.6,1604534400.0,1.205184,,,35.64,2,USD,13.471599,100720,,,,17448812544,,,191841,2.655023,35.64,37.45,,900,100720,44.98,15.210970999999999,,6.02,17.75,36.01,False,0.0721,800,36.5,ASE,"Cheniere Energy Partners, LP Ch","Cheniere Energy Partners, L.P.",America/New_York,EST,False,-18000000,,EQUITY,CQP,,,finmb_30834687,f8b3ecfe-c549-3a84-9d01-0605fb0549fc,us_market,,5.121,,0.21286999999999998,11.493,,,2.37,,484016992,,,2.0780000000000003,2201326,0.0045,,1577750400,0.64749,1295000064.0,2.676,,,17.348412,0.29984,1640908800,1593475200,10.15,1600128000.0,40846163,33652799488,,,,,,0.75,1602720000,-3.29,,0.0125,2321641.0,,,35.93,https://logo.clearbit.com/cheniere.com,,
CDW,60069,Technology,9783.0,Lincolnshire,847 465 6000,IL,United States,http://www.cdw.com,1,75 Tri-State International,,Information Technology Services,,120.95,119.94,114.59,0.011864406999999999,0.28079998,,123.1984,,593900,,120.95,121.29833,1.435,119.94,593900,,,,1.52,1598227200.0,1.17926,,,118.6071,2,USD,23.978096,1147024,,,,17491341312,,,767378,0.9610890999999999,118.6071,145.0,,800,1147024,146.09,19.216301,,1.0,73.39,121.1,False,0.0124,900,123.1984,NMS,CDW Corporation,CDW Corporation,America/New_York,EST,True,-18000000,,EQUITY,CDW,,,finmb_332700,f155f3d6-b20b-3fbc-9865-54d25200d1f7,us_market,,1.157,,0.040900003,14.145999999999999,,,6.38,,142670000,,,7.403,1721723,0.0121,,1577750400,0.9515,744300032.0,5.113,,,16.560854,0.009179999999999999,1640908800,1593475200,2.13,1600128000.0,141164494,21049499648,,,,,,-0.038,1602720000,2.28,,0.0138,1954080.0,,,119.94,https://logo.clearbit.com/cdw.com,,
EQR,60606,Real Estate,2700.0,Chicago,312-474-1300,IL,United States,http://www.equityapartments.com,1,Two North Riverside Plaza,,REIT—Residential,Suite 400,46.26,46.24,57.452130000000004,0.051340252,0.9314,,47.14,,3377950,,46.26,52.602776,2.375,46.24,3377950,,,,2.41,1600905600.0,0.584114,,,46.14,2,USD,18.459723999999998,2843414,,,,17487788032,,,2693052,6.6177725999999994,46.14,47.24,,800,2843414,87.94,37.285713,,3.19,45.43,47.04,False,0.0513,800,47.14,NYQ,Equity Residential,Equity Residential,America/New_York,EST,True,-18000000,,EQUITY,EQR,,,finmb_28209,ce422961-0af7-3abb-bdb6-618d92a33599,us_market,,10.067,,0.35971,15.902000000000001,,,1.26,,372239008,,,28.154,10336467,0.0278,,1577750400,0.94916,947454016.0,2.545,,,1.6686794999999999,0.0155,1640908800,1601424000,3.53,1600128000.0,367604870,26603753472,,1002844800.0,2:1,,,-0.6579999999999999,1602720000,3.83,,0.0373,6807859.0,,,46.24,https://logo.clearbit.com/equityapartments.com,,
VIAC,10036,Communication Services,23990.0,New York,212-258-6000,NY,United States,http://www.viacbs.com,1,1515 Broadway,,Entertainment,,28.13,27.8,24.352635999999997,,0.4147,,28.59,,9009950,,28.13,28.739165999999997,,27.8,9009950,,,,0.96,1607904000.0,1.803088,,,27.660999999999998,2,USD,,12166087,,,,17667631104,,,9552086,0.6663762,27.660999999999998,28.5,,1200,12166087,43.04,,,1.71,10.1,28.4,False,0.0336,3000,28.59,NMS,ViacomCBS Inc.,ViacomCBS Inc.,America/New_York,EST,False,-18000000,,EQUITY,VIAC,,,finmb_27763231,886186ac-8e49-37ff-9b0d-3d88b67ebeae,us_market,,1.439,,0.051629999999999995,8.322000000000001,,,,,563771008,,,,101918319,0.16540001,,1577750400,0.82695,1339000064.0,,,,,0.04359,1640908800,1593475200,10.49,1600128000.0,549783006,38146203648,,,,,,-0.508,1602720000,3.34,,0.1883,101981411.0,,,27.8,https://logo.clearbit.com/viacbs.com,,
OXY,77046-0521,Energy,14400.0,Houston,713 215 7000,TX,United States,http://www.oxy.com,1,5 Greenway Plaza,,Oil & Gas E&P,Suite 110,9.13,9.0,14.222341,0.2606791,,,9.1899,,24769387,,9.13,10.299723,2.38,9.0,24769387,,,,0.04,1600041600.0,1.906232,,,8.8512,2,USD,,22855848,,,,8492196864,,,24823513,0.39480227,8.8512,9.13,,900,22855848,47.58,-5.742138400000001,,6.81,8.52,9.05,False,0.0044,4000,9.1899,NYQ,Occidental Petroleum Corporatio,Occidental Petroleum Corporation,America/New_York,EST,True,-18000000,,EQUITY,OXY,,,finmb_293286,ce2f5758-857c-3429-9f74-1acb7cf874b3,us_market,,2.74,,-0.5614600000000001,6.642,,,-1.59,,930142016,,,14.794,45449645,0.048899997,,1577750400,0.8451200000000001,-11399999488.0,-14.447000000000001,,,0.6171420999999999,0.00168,1640908800,1593475200,1.71,1600128000.0,927612166,58937196544,,1456358400.0,10000:9983,,,,1602720000,0.12,,0.0542,49667093.0,,,9.0,https://logo.clearbit.com/oxy.com,,
TTWO,10036,Communication Services,5800.0,New York,646 536 2842,NY,United States,http://www.take2games.com,1,110 West 44th Street,,Electronic Gaming & Multimedia,,162.77,162.46,151.02028,,0.0,,162.77,,1018662,,162.77,163.30638000000002,,162.46,1018662,,,,,,0.5615,,,153.96,2,USD,39.753654,1680471,,,,17713397760,,,1243789,5.2409277,153.96,156.91,,900,1680471,180.61,27.664285999999997,,,100.0,154.79,False,,800,162.77,NMS,"Take-Two Interactive Software, ","Take-Two Interactive Software, Inc.",America/New_York,EST,False,-18000000,,EQUITY,TTWO,,,finmb_371281,c684de9e-6837-3ad1-bee4-863a7e546dff,us_market,,4.364,,0.13216,27.098000000000003,,,5.6,,114339000,,,24.386,3319125,0.029000001,,1585612800,0.94237,446684000.0,3.897,,,6.352825,0.01204,1648684800,1593475200,2.99,1600128000.0,108259685,14748641280,,1113264000.0,3:2,,,0.912,1602720000,2.26,,0.032899998,3680543.0,,,162.46,https://logo.clearbit.com/take2games.com,,
HOLX,01752,Healthcare,6478.0,Marlborough,508 263 2900,MA,United States,http://www.hologic.com,1,250 Campus Drive,,Medical Instruments & Supplies,,70.5,70.45,59.15943000000001,,0.0,,71.02,,1822162,,70.5,66.255554,,70.45,1822162,,,,,,1.338665,,,67.71,2,USD,36.881027,2228798,,,,17823346688,,,2111481,5.408553599999999,67.71,69.22,,1000,2228798,73.63,16.041957999999997,,,26.49,68.82,False,,1200,71.02,NMS,"Hologic, Inc.","Hologic, Inc.",America/New_York,EST,True,-18000000,,EQUITY,HOLX,,,finmb_108544,1ee39b1d-2fdb-3e89-8451-1d8ac5dfb834,us_market,,6.227,,0.15075,19.343,,,4.29,,258984992,,,8.716000000000001,3457652,0.0134000005,,1569628800,0.99568003,496800000.0,1.8659999999999999,,,7.895824,0.0033299999999999996,1632787200,1593216000,1.97,1600128000.0,256675094,20519364608,,1207180800.0,2:1,,,0.469,1602720000,1.38,,0.0187,3597631.0,,,70.45,https://logo.clearbit.com/hologic.com,,
FTNT,94086,Technology,7082.0,Sunnyvale,408-235-7700,CA,United States,http://www.fortinet.com,1,899 Kifer Road,408-235-7737,Software—Infrastructure,,118.0,118.08,128.22595,,0.0,,118.08,,1607562,,118.0,121.59167,,118.08,1607562,,,,,,0.889134,,,106.75,2,USD,41.198209999999996,4300530,,,,17861398528,,,1336138,7.2675257,106.75,110.74,,1200,4300530,151.95,31.991304,,,70.2,109.16,False,,1800,118.08,NMS,"Fortinet, Inc.","Fortinet, Inc.",America/New_York,EST,True,-18000000,,EQUITY,FTNT,,,finmb_2689126,8fc5534b-9ba8-33ef-872b-7b68698408fd,us_market,,6.605,,0.18505,32.052,,,3.45,,161832000,,,4.4,5117908,0.031600002,,1577750400,0.79116994,454800000.0,2.679,,,25.084091,0.16657,1640908800,1601424000,4.31,1600128000.0,137559681,16234276864,,1306972800.0,2:1,,,0.546,1602720000,2.13,,0.044299997,4936000.0,,,118.08,https://logo.clearbit.com/fortinet.com,,
MPLX,45840-3229,Energy,,Findlay,419-421-2414,OH,United States,http://www.mplx.com,1,200 East Hardin Street,,Oil & Gas Midstream,,17.02,16.89,17.76298,0.16098706,,,17.22,,2436575,,17.02,16.842776999999998,2.74,16.89,2436575,,,,2.75,1604534400.0,1.924986,,,16.76,2,USD,,2315113,,,,17901324288,,,2676444,2.0747942999999998,16.76,17.22,,900,2315113,27.36,7.1115699999999995,,8.27,6.87,17.2,False,0.1616,900,17.22,NYQ,MPLX LP,MPLX LP,America/New_York,EST,False,-18000000,,EQUITY,MPLX,,,finmb_212766522,6a036f49-3a14-32ea-ad6e-4eb1111cabf1,us_market,,4.765,,-0.22901999999999997,8.96,,,2.42,,1040169984,,,11.717,18571743,0.0179,,1577750400,0.30796,-2151000064.0,-2.075,,,1.4688059,0.6311100000000001,1640908800,1593475200,6.56,1600128000.0,343268068,41110093824,,,,,,-0.005,1602720000,-4.44,,0.0498,17760600.0,,,16.89,https://logo.clearbit.com/mplx.com,,
